Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",154.5336,-111.9886,0.0000,bottom
"C2","10uF","C_0805_2012Metric",144.8499,-107.5436,-90.0000,bottom
"C3","100nF","C_0805_2012Metric",146.9136,-107.5436,-90.0000,bottom
"C4","4u7","C_0805_2012Metric",152.4698,-100.2411,90.0000,bottom
"D1","ZELENA","1206_2",137.7061,-114.8236,-90.0000,bottom
"D2","CERVENA","1206_2",137.7061,-104.8236,-90.0000,bottom
"D3","CERVENA","1206_2",137.7061,-109.8236,-90.0000,bottom
"D4","SP1001-04XTG","SOT553",151.8348,-109.4486,180.0000,bottom
"P1","750mA","1812",148.5011,-117.2274,-90.0000,bottom
"R1","470R","0805",142.1511,-111.8298,0.0000,bottom
"R3","470R","0805",142.1511,-109.9248,180.0000,bottom
"R4","470R","0805",142.1511,-108.1786,180.0000,bottom
"R5","4k7","0805",147.7073,-99.1298,90.0000,bottom
"X1","CP2112","QFN-24",151.6761,-105.6386,90.0000,bottom
